Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
1,2008-07-05,2008,7,5,197.5,Brest,Plumelec,Flat stage,Alejandro Valverde,ESP
2,2008-07-06,2008,7,6,164.5,Auray,Saint-Brieuc,Flat stage,Thor Hushovd,NOR
3,2008-07-07,2008,7,7,208.0,Saint-Malo,Nantes,Flat stage,Samuel Dumoulin,FRA
4,2008-07-08,2008,7,8,29.5,Cholet,Cholet,Individual time trial,Kim Kirchen,LUX
5,2008-07-09,2008,7,9,232.0,Cholet,Châteauroux,Flat stage,Mark Cavendish,GBR
6,2008-07-10,2008,7,10,195.5,Aigurande,Super-Besse Sancy,Transition stage,Alejandro Valverde,ESP
7,2008-07-11,2008,7,11,159.0,Brioude,Aurillac,Transition stage,Luis León Sánchez,ESP
8,2008-07-12,2008,7,12,172.5,Figeac,Toulouse,Flat stage,Mark Cavendish,GBR
9,2008-07-13,2008,7,13,224.0,Toulouse,Bagnères-de-Bigorre,Mountain stage,Vladimir Efimkin,RUS
10,2008-07-14,2008,7,14,156.0,Pau,Hautacam,Mountain stage,Juan José Cobo,ESP
11,2008-07-16,2008,7,16,167.5,Lannemezan,Foix,Transition stage,Kurt Asle Arvesen,NOR
12,2008-07-17,2008,7,17,168.5,Lavelanet,Narbonne,Flat stage,Mark Cavendish,GBR
13,2008-07-18,2008,7,18,182.0,Narbonne,Nîmes,Flat stage,Mark Cavendish,GBR
14,2008-07-19,2008,7,19,194.5,Nîmes,Digne-les-Bains,Flat stage,Óscar Freire,ESP
15,2008-07-20,2008,7,20,183.0,Embrun,Prato Nevoso,Mountain stage,Simon Gerrans,AUS
16,2008-07-22,2008,7,22,157.0,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA
17,2008-07-23,2008,7,23,210.5,Embrun,Alpe d'Huez,Mountain stage,Carlos Sastre,ESP
18,2008-07-24,2008,7,24,196.5,Bourg-d'Oisans,Saint-Étienne,Transition stage,Marcus Burghardt,GER
19,2008-07-25,2008,7,25,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA
20,2008-07-26,2008,7,26,53.0,Cérilly,Saint-Amand-Montrond,Individual time trial,Fabian Cancellara,SUI
21,2008-07-27,2008,7,27,143.0,Étampes,Paris,Flat stage,Gert Steegmans,BEL
P,2007-07-07,2007,7,7,7.9,London,London,Individual time trial,Fabian Cancellara,SUI
1,2007-07-08,2007,7,8,203.0,London,Canterbury,Plain stage,Robbie McEwen,AUS
2,2007-07-09,2007,7,9,168.5,Dunkirk,Ghent,Plain stage,Gert Steegmans,BEL
3,2007-07-10,2007,7,10,236.5,Waregem - Compiègne,Waregem - Compiègne,Plain stage,Fabian Cancellara,SUI
4,2007-07-11,2007,7,11,193.0,Villers-Cotterêts,Joigny,Plain stage,Thor Hushovd,NOR
5,2007-07-12,2007,7,12,182.5,Chablis,Autun,Intermediate stage,Filippo Pozzato,ITA
6,2007-07-13,2007,7,13,199.5,Semur-en-Auxois,Bourg-en-Bresse,Plain stage,Tom Boonen,BEL
7,2007-07-14,2007,7,14,197.5,Bourg-en-Bresse,Le Grand-Bornand,Mountain stage,Linus Gerdemann,GER
8,2007-07-15,2007,7,15,165.0,Le Grand-Bornand,Tignes,Mountain stage,Michael Rasmussen,DEN
9,2007-07-17,2007,7,17,159.5,Val-d'Isère,Briançon,Mountain stage,Mauricio Soler,COL
10,2007-07-18,2007,7,18,229.5,Tallard,Marseille,Plain stage,Cédric Vasseur,FRA
11,2007-07-19,2007,7,19,182.5,Marseille,Montpellier,Plain stage,Robert Hunter,RSA
12,2007-07-20,2007,7,20,178.5,Montpellier,Castres,Intermediate stage,Tom Boonen,BEL
13,2007-07-21,2007,7,21,54.0,Albi,Albi,Individual time trial,Cadel Evans[n 1],AUS
14,2007-07-22,2007,7,22,197.0,Mazamet,Plateau-de-Beille,Mountain stage,Alberto Contador,ESP
15,2007-07-23,2007,7,23,196.0,Foix,Loudenvielle,Mountain stage,Kim Kirchen[n 1],LUX
16,2007-07-25,2007,7,25,218.5,Orthez,Gourette–Col d'Aubisque,Mountain stage,Michael Rasmussen,DEN
17,2007-07-26,2007,7,26,188.5,Pau,Castelsarrasin,Intermediate stage,Daniele Bennati,ITA
18,2007-07-27,2007,7,27,211.0,Cahors,Angoulême,Plain stage,Sandy Casar,FRA
19,2007-07-28,2007,7,28,55.5,Cognac,Angoulême,Individual time trial,Levi Leipheimer,USA
20,2007-07-29,2007,7,29,146.0,Marcoussis,Paris,Plain stage,Daniele Bennati,ITA
P,2006-07-01,2006,7,1,7.1,Strasbourg,Strasbourg,Individual time trial,Thor Hushovd,NOR
1,2006-07-02,2006,7,2,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA
2,2006-07-03,2006,7,3,228.5,Obernai,Esch-sur-Alzette,Flat stage,Robbie McEwen,AUS
3,2006-07-04,2006,7,4,216.5,Esch-sur-Alzette,Valkenburg,Hilly stage,Matthias Kessler,GER
4,2006-07-05,2006,7,5,207.0,Huy,Saint-Quentin,Flat stage,Robbie McEwen,AUS
5,2006-07-06,2006,7,6,225.0,Beauvais,Caen,Flat stage,Óscar Freire,ESP
6,2006-07-07,2006,7,7,189.0,Lisieux,Vitré,Flat stage,Robbie McEwen,AUS
7,2006-07-08,2006,7,8,52.0,Saint Grégoire,Rennes,Individual time trial,Serhiy Honchar,UKR
8,2006-07-09,2006,7,9,181.0,Saint-Méen-le-Grand,Lorient,Flat stage,Sylvain Calzati,FRA
9,2006-07-11,2006,7,11,169.5,Bordeaux,Dax,Flat stage,Óscar Freire,ESP
10,2006-07-12,2006,7,12,190.5,Cambo-les-Bains,Pau,Mountain stage,Juan Miguel Mercado,ESP
11,2006-07-13,2006,7,13,206.5,Tarbes,Val d'Aran/Pla-de-Beret,Mountain stage,Denis Menchov,RUS
12,2006-07-14,2006,7,14,211.5,Luchon,Carcassonne,Hilly stage,Yaroslav Popovych,UKR
13,2006-07-15,2006,7,15,230.0,Béziers,Montélimar,Flat stage,Jens Voigt,GER
14,2006-07-16,2006,7,16,180.5,Montélimar,Gap,Hilly stage,Pierrick Fédrigo,FRA
15,2006-07-18,2006,7,18,187.0,Gap,Alpe d'Huez,Mountain stage,Fränk Schleck,LUX
16,2006-07-19,2006,7,19,182.0,Le Bourg-d'Oisans,La Toussuire,Mountain stage,Michael Rasmussen,DEN
17,2006-07-20,2006,7,20,200.5,Saint-Jean-de-Maurienne,Morzine,Mountain stage,Carlos Sastre,ESP
18,2006-07-21,2006,7,21,197.0,Morzine,Mâcon,Flat stage,Matteo Tosatto,ITA
19,2006-07-22,2006,7,22,57.0,Le Creusot,Montceau-les-Mines,Individual time trial,Serhiy Honchar,UKR
20,2006-07-23,2006,7,23,154.5,Antony/Parc de Sceaux,Paris,Flat stage,Thor Hushovd,NOR
1,2005-07-02,2005,7,2,19.0,Fromentine,Noirmoutier-en-l'Île,Individual time trial,David Zabriskie,USA
